,SITUATION,EMOTION
959,When a girl left me.,ANGER
960,"I was on my way back from the Inter Rail, on board the ferry from Stockholm when my father called me at 7 o'clock to tell me that my uncle had died and that I would be seeing him off on his final journey within four days.",SADNESS
961,"On Reperbahn, in a restaurant, a \charming\"" old saleswoman came áto beg a drink for herself.""",DISGUST
962,"At the funeral of my uncle, I was one of the bearers.  I was not familiar with the etiquette and acted tactlessly because of my ignorance.",SHAME
963,"On Reberbahn, I was in a \restaurant\"" where drinks were áoverpriced.  I did not ask for the prices beforehand, and when á",GUILT
964,My girlfriend gave me some feed-back and I understood that it meant that our relationship was about to turn even closer.,JOY
965,"At the dentist's, waiting for my turn to come.",FEAR
966,"While in the army, I was treated unfairly by my superiors.  I was held responsible for a deed of which I was innocent.",ANGER
967,When I came to know that my grandmother had died.  She was very close to me.,SADNESS
968,"In the army, an acquaintance of mine tended to use his position to advance his own interests.",DISGUST
969,"When I lied to my girlfriend, telling her that I had passed an exam, when I actually did not even take it.",SHAME
970,When I spoke ill of a fellow worker in the absence of this person.,GUILT
971,When I look at people around and know that people who are stupid look stupid.,JOY
972,"When I saw Russian roulette on TV. (obviously the movie \Deer áhunter\"")""",FEAR
973,When stupid people push me during rush time in the city.,ANGER
974,[ Laziness makes one sad.],SADNESS
975,When I saw hundreds of snakes twisting over one another in a movie.,DISGUST
976,I saw a skid-row (chronical) alcoholic and I was ashamed of the people with a high standard of living.,SHAME
977,When I shot a bird in the head with a shotgun.,GUILT
978,[ Being close to another person.],JOY
979,[ Uncertainty about my own abilities in an exam.],FEAR
980,[ An unfair punishment.],ANGER
981,"Loneliness, being uncertain of myself in the Autumn.",SADNESS
982,A rich man expressing disgust towards an alcoholic.,DISGUST
983,"A man asked me: \May I sleep in your stairway?\""  and I answered á\""No\"".""",SHAME
984,[ The same as in shame.],GUILT
985,I went to a doctor with a complaint. The doctor told me that I was completely healthy.,JOY
986,"My father was away from home and he did not come back when he was expected, he came back several hours later than expected.",FEAR
987,"I had an implicit agreement with my sister about meeting her, however she had not understood the situation the same way so she did not turn up.",ANGER
988,I realized that the girl I loved had to leave me.,SADNESS
989,In the bus I was sitting next to a colleage who was drunk and behaved in keeping with his state.,DISGUST
990,I had promised to help out with domestic chores and I forgot about it.,SHAME
991,I had promised to call a girl but I did not do it.,GUILT
992,When I unexpectedly received birthday greetings from a person I like.,JOY
993,I returned home late from a party last night and I felt afraid trying to anticipate the reaction of my father.,FEAR
994,When I learned that my brother had spoilt an LP of mine.,ANGER
995,When I came to know that a girl I was fond of already had a boyfriend.,SADNESS
996,A too eager approach by a dirty drunken person in a bus.,DISGUST
997,I made a major mistake while learning how to use a computer programme and the teacher criticized me.,SHAME
998,"I reproached my mother's cooking and criticised her personality, and she felt hurt and depressed.",GUILT
999,I shot the decisive goal in an ice-hockey match.,JOY
1000,When I got lost in New York city a late friday night with a friend of mine.,FEAR
1001,After having quarelled with a relative of mine about politics.,ANGER
1002,The death of my grandmother.,SADNESS
1003,When I noticed that a nice person was being exploited economically.,DISGUST
1004,I slandered a person behind his back and he got to know about it.,SHAME
1005,I had quarelled with a friend of mine and I later realized that it was also my fault.,GUILT
1006,I passed an exam which I was not sure at all to pass.  I rejoyced at the result because the possibility of continuing my studies depended on it.,JOY
1007,"In the traffic with a car, I nearly got crushed between a bus and a tram.  The attention of other drivers saved me at the last moment.",FEAR
1008,"I was disappointed and angry at the bad quality of a documentay program on TV.  In my opinion, the topic was important and the program should have been made with seriousness and consideration.",ANGER
1009,My father had a heart attack when I was not at home (I was still living with them).  He recovered relatively well although he had to retire (which implied relief from the stress of a small scale enterprise).,SADNESS
1010,"At my grandmother's detestable and selfish conduct towards my elder sister, although her behavior was due to senility and lack of understanding.",DISGUST
1011,"I arrived late at a seminar concerning my major subject at university, although I had been appointed to formally oppose the paper which was being presented.",SHAME
1012,"I had asked the Salvation Army to take away a piece of furniture of mine, but I forgot to cancel the agreement (a friend of mine took it) and I thereby caused the Salvation Army people some unnecessary work.",GUILT
1013,"On the cliff by the sea, the silence and the sudden voice of a bird.(swans of the bay)",JOY
1014,A dark night when I had to go to the outdoor lavatory.,FEAR
1015,When I realized that I was far behind the others in the language course and I could no longer catch up with the others.,ANGER
1016,"The long lasting illness of my grand-mother, and the changes in family relationships caused by it.",SADNESS
1017,"Spoilt, smashed and molded potatoes in the fridge, and having to clean up the dish later.",DISGUST
1018,"A truth expressed unthinkingly at a coffee party.  I realized later that I had been inconsiderate, at a wrong moment and the wrong place.",SHAME
1019,"I did not go to the exercises, without any adequate reason.",GUILT
1020,"When I got home from my job, I found a letter from the university telling me that I had been admitted to begin my studies.",JOY
1021,"While watching TV (a war movie), I felt a strong fear of death, threat and fear of loosing people close to me.",FEAR
1022,I was angry with a friend of mine who behaved in an affected manner.,ANGER
1023,I made a long-distance call to people rather close to me and I thought about the sad incident that had happened to them in the near past; I knew that they were thinking about it too when I made the call.,SADNESS
1024,My parents inherited an appartment and this made them behave in a peculiar manner.,DISGUST
1025,When my friend let my personal matters be publicaly known.,SHAME
1026,"When I think about my family (parents, brothers, sisters) guilt is a part of my feelings.",GUILT
1027,I unexpectedly met a girl with whom I have always got along well. ( I had not seen her for several months.),JOY
1028,When my father was very drunk and raging at home.,FEAR
1029,"When I did not find the rack used for beating up rugs, in the yard.",ANGER
1030,When one of my cat died of a disease.,SADNESS
1031,I felt disgusted at the environment while getting back to my student lodging. I did not see anything in the suburb which had been planned by taking people's comfort into account.,DISGUST
1032,My girlfriend was away visiting another city and I brought another girl home. Next morning when I started getting sober I felt quite ashamed of myself.,SHAME
1033,I got 100 FIM too much when I changed money at the bank.  They soon called me at my job and the situation was embarrasing for me.,GUILT
1034,"In Sweden, a friend and I lived in an appartment owned by a Finn.  One day, this man came back to the appartment heavily drunk (hashish and alcohol).  He was quite dizzy and he broke down, and I could not foretell his reactions.  However, nothing happened.",FEAR
1035,"I had an appointment downtown, and the person in question was half an hour late.",ANGER
1036,The death of my grandmother.,SADNESS
1037,"In the army, I had been in hospital for two weeks and as soon as I returned to the company, a sergeant ordered me to fetch a load on the tractor trailer.",DISGUST
1038,"On the way back from a Summer spent in Sweden, I drunk with a man in the train.  I had drunk so much that when I got home I fell asleep in the entrance hall.  I have never drunk that much, neither before nor after that incident.  I was ashamed because my mother and my sister had to see me in that state and my father had to carry me to bed.",SHAME
1039,"While at primary school, I did not let a friend ring a bell although he would have liked to do it.  Afterwards I felt bad.",GUILT
1040,I got a fairly large amount of my taxes back.,JOY
1041,"I was jogging in the forest, in the central park area, when I saw a man hiding behind a tree.  I got frigthened, turned around and ran out of the forest.",FEAR
1042,"I was coming home in a taxi with a fellow worker of mine.  He was criticizing my earlier conduct towards him, which to my mind was unfounded.  When I reached home, I ran out of the taxi and slammed the door.",ANGER
1043,I had had a farewell party at the place where I had been working for a year.  That night I could not fall off to sleep.  I was sad thinking that I would not see my nice fellow workers again.,SADNESS
1044,"I was travelling in a local train when a drunkard, smelling terribly, entered the same carriage and started eating fish that was stinking.",DISGUST
1045,"While quarelling with a fellow worker of mine, I was vehement and irritated and I told him what I thought of him in plain language.  I was ashamed of myself when I met him the next day.",SHAME
1046,"I was working as a secretary.  My boss was to go to give a lecture, and wanted me to give him the exact address of the place.",GUILT
1047,"A sunny Autumn day, after a long rainy period.",JOY
1048,"Years ago, on my way to school by the forest path I came across an exhibitionist.",FEAR
1049,"A person close to me mistook my good intentions for bad, and therefore associated unpleasant traits to me.",ANGER
1050,[ A person close to me told me that his positive regard depended on my conduct.],SADNESS
1051,When an untidy and heavyly drunk person made endeavours to approach me.,DISGUST
1052,"As a little girl, I was sick in the middle of a school day and I vomitted in the basin of the classroom.",SHAME
1053,I lost my self-control and raised my voice at a child.,GUILT
1054,I got to know that I had been accepted at university.,JOY
1055,I had been watching a TV-program on paranormal phenomena.  At night I could not fall off to sleep as I feared that humanoids were on the move.,FEAR
1056,"My superior blamed me for some neglects at work in front of others.  In fact, the task in question was not supposed to be done by me.",ANGER
1057,My father suddenly fell ill and died.,SADNESS
1058,When a friend of mine got drunk and started to blame and scorn my other friends and me.,DISGUST
1059,When I forgot a promise made to a friend of mine.,SHAME
1060,It was my turn to cook dinner.  I forgot a dish (the favourite of the family) in the oven and it got burnt and was uneatable.,GUILT
1061,My joy was the joy of meeting again.  My husband came home after having been away for weeks (for work).  I was on the railway station to meet him.,JOY
1062,"I was alone at home and I could hear odd noises coming from above our bedroom.  I knew that nobody lived there since it was an office.  I got frightened (later I was given a \natural\"" áexplanation).""",FEAR
1063,A relative of mine had come to see my husband to talk to him about a problem concerning his sister and me.  I was angry because this relative of mine did not dare to speak to me and instead spoke to my husband.  I got to know about it later the same day.,ANGER
1064,"The death of my father, even though we had not been very close to each other.",SADNESS
1065,The male friend of my mother (a widow) moved in to live with us.  I did not like the man.,DISGUST
1066,"At school I was talking to a classmate about mathematics.  I had grown weary of it and said : \I would like to throw the book on áthe arse of Kuikka\"".  My classmate said : \""Now, he is sitting á",SHAME
1067,"The death of my father made me feel quite guilty, because my attitude towards him had been cold and indifferent.",GUILT
1068,"My mother, sister and I were thinking about old times, our childhood, and we had a very happy time.",JOY
1069,"My husband had gone to drive a strange, broken car.  At the agreed time, he had not returned, and I feared that he had had an accident.",FEAR
1070,"I am a school teacher.  One of the classes does not obey me at all, keeps on talking, does no work.  One afternoon, everything went wrong, and I got exceedingly angry.",ANGER
1071,"A young, close relative of mine died, leaving behind a baby a few months old.",SADNESS
1072,"A series about Freud was shown on TV.  In it, a tampon had been set in the nose of a woman, and forgotten there.  After great pain it was taken off (close-up picture), the woman was bleeding from the nose and the mouth.",DISGUST
1073,"I had promised to lend something to my mother-in-law and I forgot it a couple of times.  When she asked me about it the third time, I was ashamed at my absent-mindedness.",SHAME
1074,"A borrowed car broke down while I was using it.  It was not my fault, nevertheless I felt guilty.",GUILT
1075,I started a new branch of studies after having failed a former one.  When I got back my exam papers I was very happy to know that I almost had full marks.,JOY
1076,"I was diving below the ice, in a cave, at a depth of 26 metres.  Visibility was almost zero and the oxygen level decreased threateningly.  There were three of us divers on one safety rope.",FEAR
1077,My mother carried on using mental pressure concerning something which was serious and a real burden to me.,ANGER
1078,"My grandfather died, I went to the mortuary and saw the corpse.",SADNESS
1079,[ The same as in anger.],DISGUST
1080,As a child when I was blamed for peeing in the swimming-pool.,SHAME
1081,"A friend of mine was drunk and having an argument on the street with a woman, appparently his girlfriend.  I was walking on the other side of the street and thought that I was not supposed to interfere.  Later I heard that he had shot himself that evening.",GUILT
1082,My girlfriend sent me a letter with a shiny picture in it.,JOY
1083,I was about to begin a journey in a car with an acquaintance of mine.,FEAR
1084,On the TV news I heard that Nicaragua had complained about the increasing threat of war with the USA.,ANGER
1085,My girlfriend gave me the mitten (left me).,SADNESS
1086,Watching a violent movie.,DISGUST
1087,The morning after a wild party.,SHAME
1088,"I \picked up\"" a girl and I thought that I had misused my áposition and authority over her as there did not seem to be any á",GUILT
1089,"When, to my surprise, I got to know about having got \very good\"" áhigh school graduation marks.""",JOY
1090,"My grandmother was about to die, and it had the effect that at night, after having read a book, and once in bed, in perfect darkness, the fear arose that I too may suddenly die.",FEAR
1091,"When I checked my examination paper and realized that I had been careless, thoughtless, lazy and hasty so as to make unnecessary mistakes concerning things I know and understand.",ANGER
1092,"When we decided, my boyfriend and I, that we would separate, I realized that he would have wanted to continue our relationship and the coming separation hurt him.",SADNESS
1093,"When an acquaintance of mine told me about the way his parents treated their sons in an unequal manner.  The most successful of them got continuous encouragement, and the youngest was not encouraged and was rejected.",DISGUST
1094,"I was talking to a friend of mine about our parents and education.  I said something and then realized that I did not know my friend's parents, their motives and education.  I felt ashamed at having talked about something I did not know anything about.",SHAME
1095,My mother told me that the enveloppes that I had been tearing (I had torn the stamps away) in good faith had been the first-day enveloppes which my father had collected as a young man.,GUILT
1096,"I am not especially good at English, and after the high school graduation exam in English I tensely waited for the result the whole day.  In the evening, when I heard that I had done excellently, I became very happy and the anxiety vanished.  My family was at home.",JOY
1097,"I feared that I was pregnant.  It was not planned and I would have been compelled to have an abortion, which I would not have liked at all.  Fortunately, after a week's anxiety, I got to know that I was not pregnant.",FEAR
1098,"A member of a religious sect tried to convert me, using really evil tricks to persuade me.  After he had left, I was anxious and angry for a long time. After the event, I was alone.",ANGER
1099,"When my boyfriend wanted to leave me, I felt sad and melancholic.",SADNESS
1100,"In a film, there was an episode where they used a chain saw to cut a man.  I could not look at it, but I could not avoid listening either.  I sought shelter in my boyfriend's arms.",DISGUST
1101,"I thought I would be able to use the mangle of the house, and so I did not want any help.  However, I blocked it and I had to get the janitor to help me out.  He reproached me for not having followed the instructions",SHAME
1102,"I promised my friends that I would take care of something, but I kept forgetting about it.  When they asked me about it, I promised to do it immediately.  However, I got started only after a couple of months.  I felt that I had betrayed my friends.",GUILT
1103,"When I got an unexpected letter from  a guy, who had been my school mate.",JOY
1104,"When my brother went to shoot wild ducks, I feared that the boat would overturn and he would drown or that the gun would accidentally go off.",FEAR
1105,My father had once again told me that I should be careful and try to seek admission to other places also apart from the faculty of Social Sciences at the university of Helsinki.  I was not at all interested in any other place and had no time to study for other entrance exams.,ANGER
1106,"I would have liked to go out to chat with some acquaintances, but I realized that I was not wanted.  I felt hurt, disappointed, lonely and deserted.",SADNESS
1107,"When an acquaintance (he was drunk) of my room-mate vomitted on the kitchen carpet.  It was past mid-night and my room-mate had just moved in, this acquaintance had helped her move in.",DISGUST
1108,"I was carried away while talking about my visits abroad and I tended to boast a little, till I realized that the listener was amused.",SHAME
1109,"When I was baby-sitting at my cousin's place, I tried to have a pleasant time and did not really take care of the child.  I do not care very much about children.",GUILT
1110,"When I got 21/30 points in an exam of statistics. The result was unexpected and it made me realize that statistics do not surpass my abilities, as I have sometimes thought.",JOY
1111,When a big angry dog put its snout on my arm and had I made one movement it would have bitten me.,FEAR
1112,When my room-mates were watching video-tapes and prevented me from watching the news.  The first feeling I had was that I was being treated unfairly and then came the feeling of anger.,ANGER
1113,"[ When after a night of sleeping in another's arms, one wakes alone and knows that the lonely arms of the night are not the same that one meets in the morning.]",SADNESS
1114,"When an unpleasant person tried to make friends with me.  A subtle, small, insignificant, grey being whose helplessness and neutrality evoked the feeling of disgust in me.",DISGUST
1115,Badly chosen words to a vague acquaintance of mine made me feel ashamed at having given the wrong impression about what I wanted to say.  Thoughtlessness.,SHAME
1116,"When I behaved improperly - fought in a public place.  Afterwards, I felt guilty about my conduct.",GUILT
1117,When my friend told me that he would come and meet me in a moment.,JOY
1118,My father had been drinking and I feared him when we went to bed at night.,FEAR
1119,My friends promised me that they would definitely call me to tell me if they were visiting me or not.,ANGER
1120,A close friend of mine had not contacted me for a long time.,SADNESS
1121,A friend of mine came to see me when he was quite drunk.,DISGUST
1122,I said something especially stupid which I did not mean at all.,SHAME
1123,"I did not go to help a friend of mine, though she probably needed me.",GUILT
1124,"When I felt that an exam, which I had feared, was an easy one and went well.",JOY
1125,I was afraid when my dog ran out through a crack in the fence when  a train was coming.,FEAR
1126,"When a friend of mine was drawn into a fight because of the stupid gang he belonged to. I felt angry with him and his friends. They could not think about anything sensible, but would fool around without taking into consideration the feelings of other persons.",ANGER
1127,I felt sad after having had an argument with my boyfriend.  I felt that he did not understand me and that there was no point in carrying on with the relationship.,SADNESS
1128,"I detested my father who was a drunkard.  He would rave, threaten and blame my mother and me.  He finally drove us away from home.",DISGUST
1129,"When I was on holiday with my former boyfriend, he hit me and behaved in a very evil and ugly manner in front of the hotel personnel.",SHAME
1130,"When as a child I stole, from a friend of mine, the ring she had got in an easter egg.",GUILT
1131,"When I got home from a pleasant trip abroad, I got to know that I had been accepted at university.",JOY
1132,"At school, I had acted against the will of the group, and the next day they promised to take revenge on me.",FEAR
1133,"My mother had for some time been trying to separate me from a good friend who, she thought, was not good company for me.  Finally, at breakfast one day, we had an argument and I tried to defend my friend.",ANGER
1134,I got to know about the death of a close friend.,SADNESS
1135,"When I was watching a movie with many violent episodes.  They accurately showed the cutting of corpses, etc...",DISGUST
1136,"When I was caught telling a white lie.  At that time, I was not allowed to stay outdoors after 8 p.m.  One day when I was late, I made up a story that our neighbour had invited me to his place, though I had actually forgotten about the time while playing with my pals.",SHAME
1137,"When before the last exam I have taken, I went out instead of studying.",GUILT
1138,When I was pressing figures on the curtain cloth. I had bought the cloth after months of hindrances.,JOY
1139,I am a kindergarten teacher and I am thoroughly weary of my job.  After having taken the university entrance exam I suffered from anxiety for weeks as I did not want to carry on with my work - studies were the only alternative. ,FEAR
1140,"My life-partner, who was drinking more and more, spoke about kicking the cat.  He had never done anything of the kind, but I knew that he would do so one day, without thinking about it.",ANGER
1141,"Estrangement from my best woman friend.  We have been going different ways for quite some time now, but the break was total when she got married as her husband is unreasonably jealous of me.",SADNESS
1142,"My life-partner is going through a crisis (way of life, old-fashioned values) and can only get out of it by talking bold decisions.  I have noticed his cowardice and attempts to escape his problems by drinking.  I detest his drinking and his being full of self-pity.",DISGUST
1143,"Again, a quarrel had come up in our difficult relationship.  My life-partner threw all the books off the shelf.  I am sure that it disturbed our neighbours since this happened late in the night.",SHAME
1144,"A lonely, neurotic, shy girl lives nearby. She has expressed a wish to meet me, I have however avoided her (turned down an invitation) as the crisis my partner is going through uses up all my empathy.",GUILT
1145,"Begining the week-end with my girlfriend : cozyness, beer and wine.",JOY
1146,"The fear about my future : work, making ends meet and health. Coping.",FEAR
1147,"A friend of mine ridiculed me, telling me that I would never accomplish anything. I felt that he had interfered with my life.",ANGER
1148,I felt sad at having to leave my girlfriend after constant problems and failed attempts at reconciliation.  My sadness was caused by the irreversibility of the decision.,SADNESS
1149,A man spat on the wall of a house.,DISGUST
1150,In an express bus I sat on a seat meant for senior citizens and invalids.,SHAME
1151,When I did not succeed in finding a job after having finished a nonacademic degree.,GUILT
1152,"When after an overwhelming anxiety and enquiry, I understood something about why I exist and what my task in life is.",JOY
1153,"At the railway station, while waiting for the last train at night I noticed that a drunk young man was appraching me in a purposeful mannner.",FEAR
1154,"While having a discussion with my mother, I realized that she does not for a moment doubt the justification of her making the decisions concerning my life.",ANGER
1155,When I think that I will probably never have a genuine contact with my parents.,SADNESS
1156,"While reading Olli Jalonen's new book, the distant, cold and selfish relationships between people (in the book) made me feel disgusted.",DISGUST
1157,When I approached a person of the opposite sex and was rejected.,SHAME
1158,"When I noticed that my little sister was sulking, because I could not meet her because of a misunderstanding.",GUILT
1159,"The day I got to know that I would get a shared dwelling with my boyfriend.  My parents place was getting a little crowded with my growing bother wanting a room to himself.  I first felt doubt, then joy, but also sadness.  The feeling of joy was the strongest.",JOY
1160,My grandfather had lung-cancer and was being nursed at home.  I felt fear when I was alone with him and he almost choked on mucus secretions.,FEAR
1161,The outrageous conduct of a relative towards me and those close to me.(blaming us and lying),ANGER
1162,We had to finish the life of our 8 year-old dog.,SADNESS
1163,A very drunk person.,DISGUST
1164,"An argument that grew out of an ordinary conversation with a person very close to me, when we should have been having a good time together.",SHAME
1165,"While trying to get my little brother over a ditch, he fell on his head and started crying.  I was scared of having caused him permanent injury.",GUILT
1166,[ A chat on the telephone with a friend.],JOY
1167,"[ Meeting some new (unpleasant) people or some new, demanding situation.]",FEAR
1168,"[ For example, unfair pushing in a bus.]",ANGER
1169,"[ When I am, in my opinion, not understood correctly. ]",SADNESS
1170,[ When some people act very important in any situation.],DISGUST
1171,"[ Generally, when I am late in attending to matters (for example paying bills).]",SHAME
1172,"[ If one has planned to do something \important\"" and then, for ásome reason, fails to do it.]""",GUILT
1173,"I was in a dancing-tavern and the atmosphere was one of waiting for the end of the world.  Suddenly people began dancing wildly, inspired by the band.  An unbelievable experience : wonderful that even Finns sometimes flare up and forget to think \what áothers are thinking of me\"".  It was delightful to dance to one's á",JOY
1174,"I was travelling back home by boat with two friends of mine after a lovely holiday trip.  The night and the sea were dark, and the wind was blowing.  I feared that death was there on the boat, I somehow felt sure about it.  I feared being left alone.",FEAR
1175,"I was at home, filling my tax report.  Nobody had time to help me.  I would have liked to do it quickly so that I could go and meet a friend of mine who had just returned from hospital.  I got angry as both my brother and my father refused to give me their calculator as I had not asked for it nicely.  I could not leave as I had to wait for help and the tax report had to be done.",ANGER
1176,"I tried to talk to my parents over the phone, as I wanted to go home for the week-end and I knew that I would not be able to bear it.  I tried to reduce the gulf and the conflict between us by talking in order to unite our worlds.  Result : hysterical mess, blinding and blaming.",SADNESS
1177,"My mother called me because she had read through the enveloppe a letter addressed to me.  She denied having read it intentionally and said \the words just popped out through the enveloppe as the sun áwas shining on it\"". Hah Hah.""",DISGUST
1178,"I feared that I would have to describe my sexual life to an older, strange woman.",SHAME
1179,When I moved away from home.,GUILT
1180,The inflammation of the ear of my child got cured and the doctor said that the ear was completely all right.,JOY
1181,My husband suddenly fell ill seriously and during the medical examinations we did not know what would follow.,FEAR
1182,The housing council asked the city to cut 40 linden trees so that the inhabitants of the lower floors would have a view to the sea.,ANGER
1183,"My child, unexpectedly started acting in a restless and disturbing way at school.  In addition his performance at school weakened.",SADNESS
1184,"On a trip abroad, a lady-like member of our group turned out to be an alcoholic.  She spoilt many days of my holidays because of her behaviour and paranoia.",DISGUST
1185,I failed an exam which I thought I would certainly pass.,SHAME
1186,"I had been guilty of gossiping and blaming others, and one of my superiors at the workplace made a formal reprimand.",GUILT
1187,When a student of mine (at music) performed and played remarkably well.,JOY
1188,When climbing up the stairs to the top of a ski-jumping hill.,FEAR
1189,My boy-friend came home late one night without having told me about it before.,ANGER
1190,The breaking up of a long lasting relationship.,SADNESS
1191,"While watching the movie called \Deer hunter\"" on TV, when it áshowed how prisoners were treated.""",DISGUST
1192,When I noticed that a person I found attractive had seen me picking my nose.,SHAME
1193,When I think that I have been too stict or narrow minded towards my students.,GUILT
1194,When I made up with a girl-friend of mine after having been on unfriendly terms with her (my fault).  I cried with joy that evening.,JOY
1195,"While cycling in the country, I came across a large herd of cows.",FEAR
1196,When I heard that my step-mother had treated my mother in a wrong manner.,ANGER
1197,When my friend did not pass the high school graduation examinations.,SADNESS
1198,"When I heard about the advances an acquaintance of mine had made to my friends, who did not approve of them.",DISGUST
1199,"When after having had sexual intercourse with a friend, I thought that he had told about it to a friend of his.",SHAME
1200,"When I promised a male friend of mine to visit him, and did not.",GUILT
1201,"During lectures, I sensed an unexpressed understanding with a boy I did not know.  We exchange glances ; I think he likes me, and I like him too.  Perhaps he has fallen in love with me .........",JOY
1202,"At night, I walk home past a forest.  Once, somebody got stabbed in the forest.  I imagine someone attacking me and I hurry up.",FEAR
1203,"In a tram, the ticket seller was commanding, taking the role of a leader, trying to emphasize her non-existent authority with undue strictness towards a good-humoured drunk who could not find his ticket at once.",ANGER
1204,"A relationship in which I had put my trust, broke up.  I was sad when I realized how easy it is to forget something that one had once regarded as great and significant.",SADNESS
1205,"A nightmare.  I was dreaming about bloodsuckers, which I tried to shake off from my body, they are everywhere, they get glued, they suck.  And there are a lot of them.  I panic.",DISGUST
1206,"I told evil lies about a close friend of mine.  I was evil in order to sound jolly, to charm a person whom I wanted to impress.  I sold my friend, I was despicable.",SHAME
1207,"I met my ex boyfriend by chance.  We separated a few months ago and I am now with a new boyfriend.  My ex boyfriend looked depressed, and I know I am not to be blamed.",GUILT
1208,"[ During inter-rail-trip, after troubles, I met my little sister.]",JOY
1209,Traveling as the only female in a railway carriage in the middle of the night in Italy.,FEAR
1210,"A male, Honduran acquaintance of mine despised my opinions.",ANGER
1211,When our dog died.,SADNESS
1212,"While walking on the street with a good friend of mine, we met an acquaintance of hers.  My friend started showing off and telling false stories about herself and praising herself.",DISGUST
1213,I was dishonest to my boyfriend concerning something that is important to our relationship.,SHAME
1214,A parking fine.,GUILT
1215,"After having at last finished my master's thesis, I felt great joy and relief.  I had been haunted by the thesis during the whole of my studies.",JOY
1216,"While preparing my master's thesis, I was scared that I would not accomplish anything as the subject was rather difficult.",FEAR
1217,"During the Summer, at my workplace, a person kept interfering with my tasks and making unfounded remarks.  I felt hatred for him but it stopped when I realized that he just longed for attention.",ANGER
1218,"The last time I felt sad and disappointed was when I did not do as well as I had hoped in one of the final exams.  As compared with the earlier exams, the questions, I think, were unjust.",SADNESS
1219,"After the first of May, I detested my fiance's friends, who had piled on to our party and spoilt it completely.",DISGUST
1220,"After our sad first of May party, I felt ashamed because the friends who had been invited had to suffer.  We, the organizers of the party, did not drive the intruders away.",SHAME
1221,"At my summer job, I was responsible for making various orders.  It was not me who had ordered some seasonal merchandise, but when much of it was left over and had to be thrown away in the Autumn, I felt partly responsible for the much too large order.",GUILT
1222,When I met a good friend of mine after a long time.,JOY
1223,I was camping with a friend of mine and we spent the night in the forest.  I could not fall off to sleep and could clearly hear noises from outside (steps ?) approaching our tent.,FEAR
1224,When I quarelled with my parents.,ANGER
1225,"Being away from a very close friend, I was away from Finland for a year as an exchange student.",SADNESS
1226,When I saw a spider.,DISGUST
1227,While playing I urinated on grandma's floor and did not go to the lavatory.  My cousin told grandma and she came.,SHAME
1228,"While travelling in a bus with an invalid ticket, I got caught.",GUILT
1229,"While having a discussion with a colleague of mine, I realized that her conception of man and work were similar to mine.",JOY
1230,"While he was drunk, my life partner tried to hit me.  I felt scared and fled to the bathroom.",FEAR
1231,"A \higher status\"" colleague of mine despised my attitude and áorganization of work.""",ANGER
1232,"I could not meet my love, after having waited for a month, due to illness.",SADNESS
1233,"Once again, my life partner came back home drunk at midnight.",DISGUST
1234,"My love and me rented a room in a hotel one evening.  We stayed there a few hours and when leaving the hotel, I felt ashamed.",SHAME
1235,"[ I had, by being silent, disapproved my love and made him unhappy.  He had not been able to keep his promise.  I thus was thinking about my own conduct towards another person.]",GUILT
1236,I had just moved to the town where I study and I got a postcard from a good friend (from my home town).,JOY
1237,"My boyfriend hinted over the phone about wanting to \be free\"".  áHe thus did not say it point blank, silence followed.""",FEAR
1238,They had returned much less of my taxes than I had expected.,ANGER
1239,After my boyfriend and I had separated.,SADNESS
1240,"In the morning, the cat of my landlady had vomited on the floor, near the staircase I take to go to the bathroom.",DISGUST
1241,"My boyfriend's mother, whom I had not met earlier, made an unexpected visit.  I was lying lazily on the bed, reading a newspaper and my boyfriend was studying.",SHAME
1242,The cat of my landlady escaped through the window which I had left open.,GUILT
1243,"I got a letter from my best friend, whom I had not heard from for a long time (a good letter).",JOY
1244,Someone knocked on the door when I was alone at home (though there was a door bell).  I looked through the peep hole but it had been covered.  I called my sister but she could not help me as she was hundreds of kilometres away.,FEAR
1245,"My parents put pressure on me to buy clothes, when I would not have liked to do so.",ANGER
1246,"When my grandfather died, I saw my grandmother crying against my aunt's shoulder (I had never seen my grandmother cry before).",SADNESS
1247,"At school, I detested the spinach gruel which had lumps of flour in it.",DISGUST
1248,I told some acquaintances of mine something that I regretted later.,SHAME
1249,[ I speak harshly to my parents though they only mean my own good.],GUILT
1250,When I got a letter from home.,JOY
1251,"While cycling in the country a dog started running beside me, growling and barking, and trying to bite my foot.",FEAR
1252,"Disagreements with mother.  When I moved from KankaanpSS, she had promised to help me move but broke her promise because of some hindrance. ",ANGER
1253,"When I had to move away from home to study, and I knew that I would not be coming back home for a long time.",SADNESS
1254,When I noticed two spiders running on the floor in different directions.,DISGUST
1255,"When I realized that I had been wrong about a person close to me, because of pre-set ideas and prejudices.",SHAME
1256,When I reproached my friend because I was myself low-spirited and disappointed.,GUILT
1257,I found myself a place after looking for one for a long time.,JOY
1258,[ In an aeroplane.],FEAR
1259,I was angry at my boyfriend who had promised to come to see me but did not because he spent the evening with his pals.,ANGER
1260,"The breaking up of a relationship.  We decided that the relationship could not carry on, so it was no surprise to me. And anyhow, I had known it would happen sooner or later.",SADNESS
1261,The disgust I feel towards a certain person.,DISGUST
1262,After an event in which I felt that I had acted unfairly.,SHAME
1263,"At my job, I got disproportionately angry with a child.  My reaction was not as it should have been.",GUILT
